item,p_hat,v_hat,sign,delta_1_hat,delta_2_hat,delta_3_hat,delta_4_hat
adaptive_vabs,0.028369213,0.2950331,1.0,1.3249148,0.85506064,1.9599849,1.476613
communication_cder,0.034501884,0.27938768,1.0,0.77051014,1.2333044,1.1879214,1.7714529
hyperactivity_abc,0.8484852,0.4003299,-1.0,0.49311483,0.944516,0.5097376,3.7894304
insistence_sameness,0.041487932,0.17243914,1.0,1.1733279,1.2298381,1.3267796,1.9798665
irritability_abc,0.9409639,0.1490521,-1.0,1.2081192,0.8246694,1.0945674,1.7082684
rsm_repetitive,0.25408146,0.057974774,1.0,1.089178,0.7776548,1.5237554,2.2511249
social_cder,0.96204776,0.19844739,1.0,2.1505992,0.99167,1.4781141,1.6535636
